original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
2,3,2014,,2683.0,,ARLINGTON,VA,22204.0,0,0,2,0,,Original,
17,18,2014,1-800-FLOWERS.COM INC,7311.0,,CARLE PLACE,NY,11514.0,0,0,1,0,,Original,
21,22,2014,1A AUTO INC,2034.0,,PEPPERELL,MA,1463.0,2,0,0,0,,Original,
25,26,2014,1ST ADVANTAGE BACKGROUND SVCS CORP,9422.0,,SAINT PETERSBURG,FL,33716.0,0,0,1,0,,Original,
29,30,2014,1ST DENTAL AND ORTHODONTICS,3680.0,,DALLAS,TX,75230.0,1,0,0,0,,Original,
30,31,2014,1ST FIRE & SECURITY INC,9555.0,,VERO BEACH,FL,32962.0,0,0,1,0,,Original,
31,32,2014,1ST HERNANDO YOUTH SOCCER CLUB INC,6980.0,,BROOKSVILLE,FL,34604.0,0,0,1,0,,Original,
35,36,2014,1STDIBS.COM INC,9618.0,,NEW YORK,NY,10003.0,1,0,0,0,,Original,
36,37,2014,1STDIBS.COM INC,9618.0,,NEW YORK,NY,10010.0,2,0,1,0,,Original,
40,41,2014,2 SAAB CONSTRUCTION INC,4542.0,,BROOKLYN,NY,11235.0,0,0,1,0,,Original,
41,42,2014,2 SAAB CONSTRUCTION INC,4542.0,,NEW YORK,NY,10036.0,0,0,1,0,,Original,
44,45,2014,2H OFFSHORE INC,3800.0,,HOUSTON,TX,77079.0,0,0,1,0,,Original,
48,49,2014,3 1 PHILLIP LIM LLC,6764.0,,NEW YORK,NY,10013.0,0,0,1,0,,Original,
53,54,2014,3 JEM INC,4881.0,,SUWANEE,GA,30024.0,0,0,1,0,,Original,
54,55,2014,3 STONE DENTAL PLLC,1754.0,,ALBANY,NY,12206.0,0,0,1,0,,Original,
55,56,2014,3 STONE DENTAL PLLC,9612.0,,CLAREMONT,NH,3743.0,0,0,1,0,,Original,
63,64,2014,3CSI LLC D/B/A DIGITAL ROOTS,8185.0,,NORTHVILLE,MI,48167.0,0,0,1,0,,Original,
68,69,2014,3D STRUCTURAL ENGINEERS INC,3710.0,,BETHESDA,MD,20814.0,1,0,0,0,,Original,
72,73,2014,3DM PAYROLL INC,2910.0,,ATLANTA,GA,30309.0,4,0,0,0,,Original,
76,77,2014,3E COMPANY,1631.0,,CARLSBAD,CA,92010.0,0,0,2,0,,Original,
81,82,2014,3H INC,4984.0,,JACKSONVILLE,FL,32210.0,0,0,1,0,,Original,
90,91,2014,3J INTL LTD CO DBA HOMEMAX IMPORTS,4451.0,,IRVING,TX,75038.0,0,0,1,0,,Original,
109,110,2014,3SG CORPORATION,1723.0,,DUBLIN,OH,43017.0,0,0,1,0,,Original,
110,111,2014,3SISTERS SUSTAINABLE MGT LLC,4861.0,,PHILADELPHIA,PA,19103.0,0,0,1,0,,Original,
111,112,2014,3VR SECURITY INC,1017.0,,SAN FRANCISCO,CA,94107.0,5,0,1,0,,Original,
113,114,2014,4 BEST BUSINESS CORP,3754.0,,HOLLYWOOD,FL,33025.0,0,0,1,0,,Original,
117,118,2014,4 SEAS INTERNATIONAL SHIPPING INC,4281.0,,PALM BEACH GARDENS,FL,33410.0,1,0,0,0,,Original,
127,128,2014,4G PROJECT PEOPLE INC,3253.0,,PLANO,TX,75074.0,0,0,1,0,,Original,
139,140,2014,5 11 INC,3499.0,,MODESTO,CA,95356.0,0,0,1,0,,Original,
145,146,2014,5 STAR APPAREL LLC/DBA MECCA 5 STA,609.0,,NEW YORK,NY,10001.0,0,0,1,0,,Original,
151,152,2014,6D TECHNOLOGIES INC,4381.0,,HAUPPAUGE,NY,11788.0,0,0,0,1,,Original,
153,154,2014,6TH SENSE INC FORMERLY EURO RSCG L,8149.0,,NEW YORK,NY,10013.0,0,0,1,0,,Original,
162,163,2014,7 STAR SPORTS CORP DBA JOHN SMITH,5729.0,,DOVER,MA,2030.0,0,1,0,0,,Original,
163,164,2014,7 WORLDWIDE INC,3105.0,,WAKE FOREST,NC,27587.0,0,1,0,0,,Original,
173,174,2014,8X8 INC,2404.0,,SAN JOSE,CA,95131.0,2,0,8,0,,Original,
179,180,2014,10GEN INC,3205.0,,NEW YORK,NY,10036.0,0,0,1,0,,Original,
183,184,2014,12 DONUTS INC,4079.0,,HAMPTON,NJ,8827.0,0,0,1,0,,Original,
185,186,2014,12K APPAREL NY LLC,1045.0,,NEW YORK,NY,10018.0,0,0,1,0,,Original,
186,187,2014,13 RATTLES INC DBA R 13,721.0,,BROOKLYN,NY,11201.0,0,0,1,0,,Original,
188,189,2014,13TH ST ENTERTAINMENT DBA BRASSERI,3459.0,,NEW YORK,NY,10014.0,0,0,1,0,,Original,
190,191,2014,14 W ADMIN SVCS LLC DBA AGORA INC,5681.0,,BALTIMORE,MD,21201.0,0,0,2,0,,Original,
197,198,2014,21 ST CENTURY CHARTER SCHOOL GARY,9388.0,,GARY,IN,46402.0,1,0,0,0,,Original,
202,203,2014,21ST CENTURY PLANT FUND LLC,990.0,,MIAMI,FL,33134.0,0,0,1,0,,Original,
203,204,2014,21ST CENTURY PROFESSIONALS CORP,3375.0,,CHARLOTTE,NC,28277.0,0,0,1,1,,Original,
211,212,2014,24 E 12TH ST ASSOCIATES,8304.0,,NEW YORK,NY,10003.0,0,0,1,0,,Original,
216,217,2014,24/7 MEDIA INC,5672.0,,NEW YORK,NY,10001.0,0,0,2,0,,Original,
222,223,2014,33 UNIVERSAL INC,7761.0,,NEW YORK,NY,10282.0,0,1,0,0,,Original,
226,227,2014,35 H & Y DUET INC,1935.0,,NEW YORK,NY,10001.0,0,1,0,0,,Original,
228,229,2014,40 NORTH MANAGEMENT LLC,3244.0,,NEW YORK,NY,10019.0,1,0,0,0,,Original,
234,235,2014,57 ST COLLECTION INC DBA SEIGO NEC,1002.0,,NEW YORK,NY,10128.0,0,0,2,1,,Original,
235,236,2014,57 STARS LLC,3783.0,,WASHINGTON,DC,20001.0,0,0,1,0,,Original,
236,237,2014,57TH STREET COLLECTION INC,1002.0,,NEW YORK,NY,10128.0,0,0,0,1,,Original,
239,240,2014,72ANDSUNNY PARTNERS LLC,5109.0,,PLAYA VISTA,CA,90094.0,0,0,1,0,,Original,
244,245,2014,89 DEGREES LLC,7128.0,,BURLINGTON,MA,1803.0,0,0,1,0,,Original,
248,249,2014,99DRESSES INC,9819.0,,NEW YORK,NY,10014.0,0,1,0,0,,Original,
250,251,2014,110 WATER STREET SERIES 274 LLC,1926.0,,BALTIMORE,MD,21202.0,0,2,0,0,,Original,
259,260,2014,226 JEFFERSON INC,5002.0,,MIAMI,FL,33129.0,0,0,2,0,,Original,
263,264,2014,267 MADISON AVE PUB INC DBA MULLIG,8726.0,,NEW YORK,NY,10016.0,0,0,0,1,,Original,
267,268,2014,300 ENGINEERING GROUP PA,2529.0,,MIAMI,FL,33166.0,1,0,0,0,,Original,
273,274,2014,320 LINCOLN LLC,9911.0,,MIAMI,FL,33137.0,0,0,1,0,,Original,
281,282,2014,360I LLC,2651.0,,ATLANTA,GA,30309.0,1,0,5,0,,Original,
282,283,2014,360I LLC,2651.0,,NEW YORK,NY,10013.0,0,0,2,0,,Original,
287,288,2014,406 BROOME ST REST INC,4217.0,,NEW YORK,NY,10013.0,0,1,0,0,,Original,
288,289,2014,451 RESEARCH LLC,6503.0,,NEW YORK,NY,10018.0,1,0,0,0,,Original,
291,292,2014,501 AUCTIONS LLC,4568.0,,BROOKLYN,NY,11211.0,0,1,0,0,,Original,
293,294,2014,522 W 38TH ST NY LLC,4646.0,,FLUSHING,NY,11354.0,0,1,0,0,,Original,
296,297,2014,576 FRAMING CORP,5848.0,,BROOKLYN,NY,11206.0,1,0,0,0,,Original,
297,298,2014,584 AMSTERDAM REST CORP,3168.0,,NEW YORK,NY,10024.0,0,0,1,0,,Original,
298,299,2014,601 WEST MANAGEMENT CORP,1595.0,,NEW YORK,NY,10001.0,0,0,1,0,,Original,
300,301,2014,718 COMMUNICATIONS,2966.0,,RICHARDSON,TX,75081.0,1,0,0,0,,Original,
303,304,2014,888 PHARMACY INC,7484.0,,BROOKLYN,NY,11220.0,0,0,1,0,,Original,
304,305,2014,924 SECOND AVE CORP,3933.0,,NEW YORK,NY,10022.0,1,0,0,0,,Original,
305,306,2014,1010DATA SERVICES LLC,8507.0,,NEW YORK,NY,10017.0,0,0,1,0,,Original,
307,308,2014,1100 ARCHITECT PC,3249.0,,NEW YORK,NY,10018.0,0,0,1,0,,Original,
309,310,2014,1105 MEDIA,3700.0,,CHATSWORTH,CA,91311.0,0,0,1,0,,Original,
313,314,2014,1211 BAKE OPERATING LLC,9845.0,,NEW YORK,NY,10036.0,0,1,0,0,,Original,
321,322,2014,2070 INC/DBA DIYA,6379.0,,VIENNA,VA,22182.0,0,2,1,1,,Original,
322,323,2014,2080 MEDIA INC D/B/A PLAYON SPORTS,5473.0,,ATLANTA,GA,30341.0,0,0,1,0,,Original,
323,324,2014,2600HZ INC,7748.0,,SAN FRANCISCO,CA,94105.0,2,0,0,0,,Original,
325,326,2014,6555 SUGARLOAF PKWY OPS LLC DBA LU,568.0,,DULUTH,GA,30096.0,0,0,1,0,,Original,
327,328,2014,7653 RESTAURANT GP LLC DBA THE TIL,9906.0,,TAMPA,FL,33609.0,0,0,0,1,,Original,
330,331,2014,8760 ENTERPRISES INC,6494.0,,NEW YORK,NY,10001.0,0,0,1,0,,Original,
338,339,2014,A 2 Z PERFUMES INC,9241.0,,EAST BRUNSWICK,NJ,8816.0,0,0,1,0,,Original,
339,340,2014,A & A COMPANY INC,334.0,,SOUTH PLAINFIELD,NJ,7080.0,0,0,1,0,,Original,
344,345,2014,A & B ENT INC DBA HOLIDAY INN EXPR,1580.0,,PHILADELPHIA,MS,39350.0,0,0,1,0,,Original,
345,346,2014,A & B ENVIRONMENTAL SERVICES INC,1001.0,,HOUSTON,TX,77029.0,0,0,2,0,,Original,
347,348,2014,A & D HOTELS LLC,8366.0,,AUSTIN,TX,78753.0,0,0,0,1,,Original,
350,351,2014,A & J PARTNERSHIP DBA HOWARD JOHNS,9769.0,,VERO BEACH,FL,32966.0,0,0,1,0,,Original,
351,352,2014,A & L SERVICES CORP,1437.0,,BOCA RATON,FL,33431.0,0,0,1,0,,Original,
353,354,2014,A & W AMERICAN STAFFING LLC,7599.0,,HOUSTON,TX,77036.0,0,0,1,0,,Original,
354,355,2014,A & Z PHARMACEUTICAL INC,2018.0,,DEER PARK,NY,11729.0,0,0,2,0,,Original,
355,356,2014,A A RESTAURANT EQUIPMENT CO INC,,,HOUSTON,TX,77074.0,0,0,1,0,,Original,
359,360,2014,A CARING DOCTOR NJ PA DBA BANFIELD,576.0,,PORTLAND,OR,97213.0,0,0,2,0,,Original,
363,364,2014,A CARING DR TX PC DBA BANFIELD PET,1410.0,,PORTLAND,OR,97213.0,1,0,2,1,,Original,
365,366,2014,A CARING HAND LLC,3117.0,,JACKSONVILLE,FL,32256.0,0,0,0,1,,Original,
367,368,2014,A CHEMTEK INC,2636.0,,WORCESTER,MA,1606.0,1,0,0,0,,Original,
372,373,2014,A FANTIS PAROCHIAL SCHOOL OF STS C,835.0,,BROOKLYN,NY,11209.0,1,0,0,0,,Original,
386,387,2014,A M CASTLE & CO,9160.0,,OAK BROOK,IL,60523.0,1,0,1,0,,Original,
389,390,2014,A MEDIUM CORPORATION,8864.0,,SAN FRANCISCO,CA,94102.0,2,0,1,0,,Original,
390,391,2014,A MODO MIO INC T/A ET VOILA,2966.0,,WASHINGTON,DC,20016.0,0,0,1,0,,Original,
391,392,2014,A MORTON THOMAS & ASSOCIATES INC,8302.0,,ROCKVILLE,MD,20852.0,0,0,1,0,,Original,
392,393,2014,A MORTON THOMAS AND ASSOCIATES INC,8302.0,,ROCKVILLE,MD,20850.0,0,0,1,0,,Original,
400,401,2014,A O TEXTILE INC,7442.0,,NEW YORK,NY,10018.0,0,0,1,0,,Original,
402,403,2014,A P P GROUP INC D/B/A MACKAGE,98.0,,HALLANDALE,FL,33009.0,0,0,1,0,,Original,
407,408,2014,A PLUS COVERAGE INC,6098.0,,FLUSHING,NY,11355.0,0,0,1,0,,Original,
409,410,2014,A PLUS DENTISTRY,3378.0,,CUMMING,GA,30040.0,0,0,1,0,,Original,
411,412,2014,A PREMIER TITLE LLC,8278.0,,ORLANDO,FL,32801.0,1,0,0,0,,Original,
413,414,2014,A ROSE HAS NO TEETH LLC,709.0,,NEW YORK,NY,10012.0,0,1,0,0,,Original,
426,427,2014,A VOCE COLUMBUS LLC,9785.0,,NEW YORK,NY,10019.0,0,0,1,0,,Original,
427,428,2014,A W MOBILE INC,4876.0,,BETHPAGE,NY,11714.0,0,0,3,0,,Original,
437,438,2014,A2MAC1 LLC,2503.0,,BELLEVILLE,MI,48111.0,0,0,1,0,,Original,
441,442,2014,A2Z DEVELOPMENT CTR INC D/B/A LAB,4484.0,,CUPERTINO,CA,95014.0,0,0,10,0,,Original,
442,443,2014,A2Z DEVELOPMENT CTR INC D/B/A LAB,4484.0,,SEATTLE,WA,98109.0,0,0,2,0,,Original,
443,444,2014,A2Z DEVELOPMENT CTR INC D/B/A LAB1,4484.0,,CUPERTINO,CA,95014.0,0,0,17,0,,Original,
444,445,2014,A2Z DEVELOPMENT CTR INC D/B/A LAB1,4484.0,,SEATTLE,WA,98109.0,3,0,55,0,,Original,
