original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
12,13,2019,1POINT3ACRES LLC,301.0,,LAS VEGAS,NV,89109.0,0,1,1,0,,Original,
19,20,2019,1STDIBS.COM INC,9618.0,,NEW YORK,NY,10003.0,0,0,3,0,,Original,
25,26,2019,2 7 AUGUST APPAREL INC,9873.0,,LOS ANGELES,CA,90007.0,1,0,0,0,,Original,
29,30,2019,2 DO AGAIN LLC DBA ONCE AGAIN APPA,1502.0,,NEW YORK,NY,10018.0,0,0,1,0,,Original,
44,45,2019,2ND BRIDGE INC,8670.0,,BEVERLY HILLS,CA,90212.0,1,0,0,0,,Original,
103,104,2019,3J INTL LTD CO DBA HIEND ACCENTS,4451.0,,IRVING,TX,75038.0,1,0,0,0,,Original,
107,108,2019,3LP ADVISORS LLC DBA SHERPA TECH G,2235.0,,BOSTON,MA,2110.0,0,1,0,0,,Original,
132,133,2019,4A CONSULTING LLC,172.0,,ELLICOTT CITY,MD,21043.0,0,1,2,0,,Original,
159,160,2019,5G STUDIO COLLABORATIVE LLC,8420.0,,DALLAS,TX,75202.0,0,0,1,0,,Original,
168,169,2019,6FUSION USA INC,7197.0,,RALEIGH,NC,27601.0,0,0,0,1,,Original,
177,178,2019,7PARK DATA INC,6937.0,,NEW YORK,NY,10016.0,4,0,3,0,,Original,
179,180,2019,7TH AVE PHYSICAL THERAPY,2502.0,,NEW YORK,NY,10019.0,0,0,1,0,,Original,
190,191,2019,8X8 INC,2404.0,,SAN JOSE,CA,95131.0,14,0,25,0,,Original,
198,199,2019,9M SOLUTIONS INC,4057.0,,CHARLOTTE,NC,28217.0,0,0,0,1,,Original,
213,214,2019,13 RATTLES INC,721.0,,NEW YORK,NY,10013.0,0,0,1,0,,Original,
249,250,2019,41SQUARE LLC,6485.0,,ASHBURN,VA,20148.0,0,0,1,0,,Original,
250,251,2019,41ST PARAMETER INC,8748.0,,COSTA MESA,CA,92626.0,0,0,0,1,,Original,
269,270,2019,88 INTERNATIONAL INC,7511.0,,ALHAMBRA,CA,91803.0,0,1,0,0,,Original,
309,310,2019,517 MANAGEMENT INC,2460.0,,BAYSIDE,NY,11361.0,1,0,0,1,,Original,
313,314,2019,786 PROPERTY MGT INC DBA REAL PROP,8186.0,,DERWOOD,MD,20855.0,0,0,1,0,,Original,
322,323,2019,1131LTD,9624.0,,YOUNGSTOWN,OH,44511.0,0,1,0,0,,Original,
327,328,2019,1661 INC D/B/A GOAT,1406.0,,LOS ANGELES,CA,90016.0,1,0,0,0,,Original,
331,332,2019,1872 CONSULTING LLC,5223.0,,CHICAGO,IL,60654.0,0,0,0,1,,Original,
334,335,2019,1960 PHYSICIAN ASSOCIATES,8169.0,,HOUSTON,TX,77065.0,1,0,0,0,,Original,
338,339,2019,2525 MAIN APARTMENT LP,974.0,,CERRITOS,CA,90703.0,1,0,0,0,,Original,
340,341,2019,5247 BROADWAY DRUGS INC DBA DRUG,5762.0,,BRONX,NY,10463.0,0,0,1,0,,Original,
352,353,2019,A 100 US LLC,9155.0,,SEATTLE,WA,98121.0,1,0,0,0,,Original,
394,395,2019,A M KING CONSTRUCTION COMPANY LLC,7632.0,,GREENVILLE,SC,29607.0,0,0,0,1,,Original,
396,397,2019,A MEDIUM CORPORATION,8864.0,,SAN FRANCISCO,CA,94103.0,1,0,4,0,,Original,
400,401,2019,A NIAZI DDS PLLC,8144.0,,GIG HARBOR,WA,98335.0,1,0,0,0,,Original,
438,439,2019,A2 MEDIA CORPORATION,3574.0,,ANN ARBOR,MI,48104.0,0,1,0,0,,Original,
