LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
WILLISTON NORTHAMPTON SCHOOL,EASTHAMPTON,MA,611110.0
"NYFIX, INC.",NEW YORK,NY,5415.0
TGS-NOPEC GEOPHYSICAL COMPANY,HOUSTON,TX,541360.0
"AFREN USA, INC.",THE WOODLANDS,TX,211111.0
"BA-INSIGHT, LLC",NEW YORK,NY,541519.0
"NIKE, INC.",BEAVERTON,OR,316219.0
PENINSULA REGIONAL MEDICAL CENTER,SALISBURY,MD,622110.0
FIDELITY TECHNOLOGY GROUP LLC,MERRIMACK,NH,523999.0
"OMS ONLINE, LLC",FORT MYERS,FL,541500.0
"WEBSENSE, INC.",SAN DIEGO,CA,541511.0
"SIERRA WIRELESS AMERICA, INC.",CARLSBAD,CA,334220.0
"DJO, LLC",VISTA,CA,339112.0
"ACCELRYS SOFTWARE, INC.",SAN DIEGO,CA,541700.0
"NUANCE COMMUNICATIONS, INC.",BURLINGTON,MA,511210.0
"RS COMPUTER ASSOCIATES, LLC",NEWARK,CA,541510.0
NEW YORK CITY DEPARTMENT OF EDUCATION,BROOKLYN,NY,611110.0
"MCAFEE, INC.",ST. PAUL,MN,5415.0
ABERCROMBIE & FITCH TRADING CO.,NEW ALBANY,OH,448000.0
"ZIFF BROTHERS INVESTMENTS, LLC",NEW YORK,NY,523110.0
"ENERGY SOLUTIONS INTERNATIONAL, INC.",HOUSTON,TX,541330.0
"MCKINSEY & COMPANY, INC. UNITED STATES",NEW YORK,NY,541610.0
"STUDIO STYLES INTERNATIONAL, INC.",WESTON,FL,812112.0
NATIONAL SEMICONDUCTOR CORPORATION,SANTA CLARA,CA,334413.0
"PACRIM MARKETING GROUP, INC.",HONOLULU,HI,541800.0
"BATTERIES PLUS, LLC.",HARTLAND,WI,443000.0
JMP ENGINEERING INC,SAN ANTONIO,TX,541330.0
"INFOJINI, INC.",COLUMBIA,MD,541511.0
SAMARITAN MEDICAL CENTER,WATERTOWN,NY,622110.0
CONTRAN CORPORATION,DALLAS,TX,562211.0
E2E ANALYTIX INC.,IRVINE,CA,541511.0
PRISERVE CONSULTING INC,HOUSTON,TX,541512.0
THE ADVISORY BOARD COMPANY,WASHINGTON,DC,541611.0
"MINDSPEED TECHNOLOGIES, INC.",NEWPORT BEACH,CA,334413.0
HANUSOFT INC.,RICHMOND,VA,541511.0
"BECKMAN COULTER, INC.",BREA,CA,3391.0
EMULEX DESIGN AND MANUFACTURING CORP,COSTA MESA,CA,541511.0
WEATHERFORD INTERNATIONAL INC.,HOUSTON,TX,333132.0
"ARUBA NETWORKS, INC.",SUNNYVALE,CA,541512.0
WHITE & CASE LLP,NEW YORK,NY,541110.0
BIRLASOFT INC,EDISON,NJ,541511.0
"FEDEX CORPORATE SERVICES, INC.",COLLIERVILLE,TN,481112.0
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.",WALTHAM,MA,621399.0
"PILKINGTON NORTH AMERICA, INC.",TOLEDO,OH,3272.0
DISCOVER PRODUCTS INC.,RIVERWOODS,IL,522210.0
PROGRESSIVE STEP CORP.,MILWAUKEE,WI,623110.0
TOUCH-UP ENTERPRISES INC,MIAMI,FL,423990.0
AUTOMATIC CONTROL ELECTRONICS COMPANY,SAN ANTONIO,TX,541330.0
"SHAMIN HOTELS, INC",CHESTER,VA,72111.0
"AL JAZEERA INTERNATIONAL (USA), INC.",WASHINGTON,DC,519110.0
ANEST IWATA AIR ENGINEERING INC,WEST CHESTER,OH,333912.0
"SEMAFOR TECHNOLOGIES, LLC",ATLANTA,GA,541511.0
CALLAWAY GOLF COMPANY,CARLSBAD,CA,339920.0
"EL CENTRO HISPANO, INC.",DURHAM,NC,813319.0
"THE MONTEVERDI RESIDENCE CLUB, LLC",CINCINNATI,OH,5311.0
"INPATIENT CONSULTANTS OF COLORADO, P.C.",NORTH HOLLYWOOD,CA,621111.0
"ALEC H JARET, DMD",NEWTON,MA,621210.0
"AUTODESK, INC.",SAN RAFAEL,CA,541511.0
"MOORE CAPITAL MANAGEMENT, LP",NEW YORK,NY,561790.0
"NYSE MARKET, INC.",NEW YORK,NY,523110.0
"ADAEQUARE, INC.",CHANTILLY,VA,541511.0
"QUANTUM APPLIED SCIENCE AND RESEARCH, INC.",SAN DIEGO,CA,541700.0
"SANCHEZ AND BLACK CONSTRUCTION, LLC",JACKSON,TN,236210.0
THE SCHOOL BOARD OF THE CITY OF PETERSBURG,PETERSBURG,VA,611110.0
TYLER INDEPENDENT SCHOOL DISTRICT,TYLER,TX,611110.0
"NYSE ARCA, LLC",NEW YORK,NY,523210.0
NATIONAL BUREAU OF ECONOMIC RESEARCH,CAMBRIDGE,MA,541720.0
"DASSAULT SYSTEMES SERVICES, LLC",CHARLOTTE,NC,541600.0
CHARTIS PROPERTY CASUALTY COMPANY,NEW YORK,NY,524113.0
KEYSTONE RURAL HEALTH CENTER,CHAMBERSBURG,PA,621498.0
MULTIVISION INC,NAPERVILLE,IL,541511.0
