original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
3,4,2011,,489.0,,SAN DIEGO,CA,92131.0,0,1,0,0,,Original,
25,26,2011,1 MODEL MANAGEMENT LLC,1809.0,,NEW YORK,NY,10012.0,2,0,0,0,,Original,
29,30,2011,1 STOP ELECTRONIC CENTER INC,9485.0,,BROOKLYN,NY,11230.0,1,0,0,0,,Original,
62,63,2011,2CHECKOUT COM,6843.0,,COLUMBUS,OH,43228.0,0,0,1,0,,Original,
64,65,2011,2H OFFSHORE INC,3800.0,,HOUSTON,TX,77079.0,1,0,0,0,,Original,
67,68,2011,2K INTERNET INC,8055.0,,ANAHEIM,CA,92801.0,0,1,0,0,,Original,
69,70,2011,2SHOPPER INC,8047.0,,EL MONTE,CA,91731.0,0,1,1,0,,Original,
72,73,2011,3 1 PHILLIP LIM LLC,6764.0,,NEW YORK,NY,10018.0,1,0,0,0,,Original,
76,77,2011,3 DAY BLINDS CORPORATION,3059.0,,IRVINE,CA,92618.0,0,1,0,0,,Original,
77,78,2011,3 DEE INTL INCORPORATED,337.0,,LONG BEACH,CA,90802.0,0,0,1,0,,Original,
89,90,2011,3CSI LLC,8185.0,,NOVI,MI,48375.0,1,0,0,0,,Original,
93,94,2011,3D LASER ART LLC,7992.0,,WEST PARK,FL,33023.0,1,0,0,0,,Original,
95,96,2011,3D PLUS USA INC,,,MCKINNEY,TX,75070.0,0,0,1,0,,Original,
100,101,2011,3E COMPANY,1631.0,,CARLSBAD,CA,92010.0,0,0,1,0,,Original,
104,105,2011,3G CAPITAL INC,3698.0,,NEW YORK,NY,10016.0,0,0,1,0,,Original,
108,109,2011,3I INFOTECH CONSULTING INC,7342.0,,EDISON,NJ,8837.0,0,0,1,0,,Original,
120,121,2011,3R CONSULTING LLC,866.0,,GLEN ROCK,NJ,7452.0,2,0,0,0,,Original,
122,123,2011,3S NETWORK INC,9275.0,,BELLEVUE,WA,98008.0,5,1,2,0,,Original,
124,125,2011,3SG CORP,1723.0,,DUBLIN,OH,43017.0,1,0,0,0,,Original,
129,130,2011,3VR SECURITY INC,1017.0,,SAN FRANCISCO,CA,94107.0,1,0,1,0,,Original,
142,143,2011,4JS FABRIC INC,5048.0,,LOS ANGELES,CA,90007.0,0,1,0,0,,Original,
160,161,2011,5BARZ INTL INC,3002.0,,MISSION VIEJO,CA,92691.0,1,0,0,0,,Original,
164,165,2011,5M CONSTRUCTION CORPORATION,4107.0,,BARRIGADA,GU,96921.0,1,0,0,0,,Original,
166,167,2011,5STAT INC,9953.0,,BEATRICE,NE,68310.0,0,0,1,0,,Original,
180,181,2011,7TH AVENUE MEDICAL STAFFING LLC,8500.0,,FOREST HILLS,NY,11375.0,0,0,1,0,,Original,
186,187,2011,8 ZONE INTERNATIONAL INC,2002.0,,POMONA,CA,91766.0,1,0,0,0,,Original,
204,205,2011,21 CENTURY MEDICINE INC,9567.0,,FONTANA,CA,92336.0,1,0,1,0,,Original,
