LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
TEXAS STATE UNIVERSITY-SAN MARCOS,SAN MARCOS,TX,611310.0
"EYE SPECIALISTS OF INDIANA, P.C.",INDIANAPOLIS,IN,621320.0
"LHB, INC.",DULUTH,MN,541330.0
"WAM USA, INC.",LAWRENCEVILLE,GA,333922.0
"DFUSE TECHNOLOGIES, INC.",ASHBURN,VA,541519.0
TAKE ENTERPRISE SERVICES INC,PRINCETON,NJ,541511.0
"TAKE SOLUTIONS, INC",PRINCETON,NJ,541511.0
"PLATTFORM ADVERTISING, INC.",LENEXA,KS,541810.0
PROPEL CORP.,LOUISVILLE,KY,541411.0
UT HEALTH SCIENCE CENTER AT SAN ANTONIO,SAN ANTONIO,TX,611310.0
"CITRON PHARMA, LLC",EAST BRUNSWICK,NJ,424210.0
"ATHEROS COMMUNICATIONS, INC.",SAN JOSE,CA,334413.0
"ETEK IT SERVICES, INC.",SCHAUMBURG,IL,541511.0
"ICON TECHNOLOGIES, INC.",ALPHARETTA,GA,541511.0
DEWBERRY ENGINEERS INC.,FAIRFAX,VA,541330.0
"CAREMARK, LLC",IRVING,TX,424210.0
"CRISPIN PORTER & BOGUSKY, LLC",MIAMI,FL,541810.0
"LOGISTIC SOLUTIONS, INC.",PISCATAWAY,NJ,541511.0
"FRS AMERICA, INC.",RIVERWOODS,IL,511210.0
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN A,SAN ANTONIO,TX,611310.0
"SYSINTELLI, INC",SAN DIEGO,CA,541519.0
STATOIL GULF SERVICES LLC,HOUSTON,TX,213112.0
CCH INCORPORATED,RIVERWOODS,IL,511210.0
"FRONTIER TECHNOLOGIES, LLC",NAPERVILLE,IL,541511.0
"NEXTAG, INC.",SAN MATEO,CA,541710.0
YAMILETH BEEPERS CORP,DORAL,FL,323110.0
"BECKMAN COULTER, INC.",BREA,CA,3391.0
"MCAFEE, INC.",ST. PAUL,MN,5415.0
"APPS ASSOCIATES, LLC",ACTON,MA,541511.0
"ALREK BUSINESS SOLUTIONS, INC",SCHAUMBURG,IL,541511.0
AMIT,MINNETONKA,MN,5313.0
FITCH RATINGS,NEW YORK,NY,523930.0
"PHUNWARE, INC.",AUSTIN,TX,5112.0
INTONE NETWORKS INC.,ISELIN,NJ,541519.0
"SEAL CONSULTING, INC.",EDISON,NJ,541511.0
"C-LEVEL MANAGEMENT, INC",SAN JUAN CAPISTRANO,CA,541611.0
"HDK ENTERPRISES, INC.",HOUSTON,TX,424210.0
BARCLAYS CAPITAL INC.,NEW YORK,NY,523110.0
TEKCOMMANDS INC,TROY,MI,541511.0
"SEMAFOR TECHNOLOGIES, LLC",ATLANTA,GA,541511.0
"TARGET LABS, INC.",VIENNA,VA,541511.0
NOKIA INC.,IRVING,TX,517212.0
NEUROSTREAM TECHNOLOGIES CORP.,MINNEAPOLIS,MN,334510.0
"SBM ATLANTIA, INC.",HOUSTON,TX,336611.0
PROSUM INC.,EL SEGUNDO,CA,541519.0
"AKT, LLC.",ISELIN,NJ,541519.0
CT CORPORATION SYSTEMS,RIVERWOODS,IL,511210.0
SUNGARD BUSINESS SYSTEMS LLC,BIRMINGHAM,AL,541511.0
"NOVATEL WIRELESS, INC.",SAN DIEGO,CA,513300.0
"RESOLUTION HEALTH, INC.",RICHMOND,VA,524114.0
"PRECISION MANAGEMENT GROUP, INC.",BASKING RIDGE,NJ,541519.0
"BLACKROCK INVESTMENT MANAGEMENT, LLC",NEW YORK,NY,523920.0
"TASACOM TECHNOLOGIES, INC.",DALLAS,TX,541511.0
AMENSYS INC,LEWISVILLE,TX,541511.0
MC10 INC.,CAMBRIDGE,MA,334111.0
"WELLPOINT, INC.",THOUSAND OAKS,CA,524114.0
"CENTAURUS TECHNOLOGY PARTNERS, LLC",IRVING,TX,54151.0
NUL SYSTEM SERVICES CORPORATION,SANTA CLARA,CA,541512.0
SPARTAN SOLUTIONS INC,BARTLETT,TN,541511.0
"MIRIMUS, INC.",COLD SPRING HARBOR,NY,541711.0
"VMWARE, INC.",PALO ALTO,CA,541511.0
ADVENTIST HEALTH SYSTEM/SUNBELT INC,ALTAMONTE SPRINGS,FL,62211.0
"VISTAPRINT USA, INCORPORATED",LEXINGTON,MA,323119.0
"OAK LEAF CONSTRUCTION, INC.",SAN FRANCISCO,CA,2361.0
"COMPVUE, INC.",SUNNYVALE,CA,541511.0
COMMUNITY HEALTH CENTER OF SNOHOMISH COUNTY,EVERETT,WA,621498.0
SID COMPUTER GROUP INC.,JERSEY CITY,NJ,541511.0
CHALLENGER SPORTS CORP.,LENEXA,KS,61131.0
UP ALL NIGHT CORP,HOUSTON,TX,541810.0
PFIZER INC,NEW YORK,NY,325412.0
SOLVOYO CO,BOSTON,MA,541519.0
LE SUEUR INC.,LE SUEUR,MN,333511.0
BIOSS INC.,WOBURN,MA,325411.0
JIN HONG,AYER,MA,541710.0
"NEC SPHERE COMMUNICATIONS, INC.",LINCOLNSHIRE,IL,334210.0
THE UNITED SOLUTIONS GROUP INC.,AMBLER,PA,541511.0
HITACHI DATA SYSTEMS CORPORATION,SANTA CLARA,CA,541511.0
KINGLAND SYSTEMS CORPORATION,CLEAR LAKE,IA,541519.0
,,,
"F.O. USA, INC.",NEW YORK,NY,448130.0
SMART FOLKS INC,NOVI,MI,541511.0
"MAGENIC TECHNOLOGIES, INC.",ST. LOUIS PARK,MN,541511.0
JPMORGAN CHASE & CO.,CHICAGO,IL,551112.0
HEADSTRONG SERVICES LLC,RESTON,VA,541611.0
"INTERNATIONAL SOLUTIONS GROUP, INC.",HERNDON,VA,541511.0
"RESCON, INC.",BETHESDA,MD,541519.0
"THE RUSSIAN SCHOOL OF MATHEMATICS, INC",NEWTON,MA,6116.0
ZYNGA INC.,SAN FRANCISCO,CA,516110.0
ICONSOFT INC.,BURLINGTON,MA,541511.0
"UNIFIED BUSINESS TECHNOLOGIES, INC",TROY,MI,541519.0
OREGON STATE UNIVERSITY,CORVALLIS,OR,611310.0
"ARNAMY, INC.",TALLAHASSEE,FL,541511.0
ROCHESTER INSTITUTE OF TECHNOLOGY,ROCHESTER,NY,611310.0
UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,611310.0
"NEA CONSULTING, INC.",PRINCETON,NJ,541511.0
"NETUITIVE, INC.",RESTON,VA,541511.0
INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS,INDIANAPOLIS,IN,611310.0
JAPAN BUSINESS SYSTEMS TECHNOLOGY,TORRANCE,CA,519190.0
"HEALTH LANGUAGE, INC.",RIVERWOODS,IL,5417.0
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,54151.0
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,611310.0
THE J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,541711.0
STATOIL US HOLDINGS INC.,STAMFORD,CT,213112.0
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,611310.0
ADVENT GLOBAL SOLUTIONS INC.,HOUSTON,TX,541511.0
THE JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,611310.0
BLUECROSS BLUESHIELD OF TENNESSEE,CHATTANOOGA,TN,524114.0
CHILDREN'S HOSPITAL CORPORATION,BOSTON,MA,622310.0
"JOHNSONVILLE SAUSAGE, LLC",SHEBOYGAN FALLS,WI,311615.0
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT H,HOUSTON,TX,611310.0
"SIEMENS MEDICAL SOLUTIONS USA, INC.",HOFFMAN ESTATES,IL,33911.0
"UNITED AIRLINES, INC.",ELK GROVE VILLAGE,IL,481000.0
MYLAN SPECIALTY L.P.,BASKING RIDGE,NJ,325412.0
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NY,611310.0
"ACS TRANSPORT SOLUTIONS, INC.",DALLAS,TX,541512.0
