LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
MICROSOFT CORPORATION,REDMOND,WA,51121.0
ERNST & YOUNG U.S. LLP,SECAUCUS,NJ,541211.0
LOGIXHUB LLC,IRVING,TX,541511.0
"HEXAWARE TECHNOLOGIES, INC.",ISELIN,NJ,541511.0
"ECLOUD LABS,INC.",ISELIN,NJ,541511.0
OBERON IT,IRVING,TX,541511.0
ICONSOFT INC.,BURLINGTON,MA,541511.0
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,COLLEGE STATION,TX,541512.0
ISHI SYSTEMS INC,JERSEY CITY,NJ,541511.0
"WB SOLUTIONS, LLC",TAMPA,FL,541511.0
INFOSTRETCH CORPORATION,SANTA CLARA,CA,541511.0
"THE ESAB GROUP, INC.",FLORENCE,SC,333992.0
LARSEN & TOUBRO INFOTECH LIMITED,EDISON,NJ,541511.0
TATA CONSULTANCY SERVICES LIMITED,ROCKVILLE,MD,541511.0
ACRO SERVICE CORPORATION,LIVONIA,MI,561320.0
"TECH MAHINDRA (AMERICAS),INC.",SOUTH PLAINFIELD,NJ,541511.0
VERIZON DATA SERVICES LLC,IRVING,TX,51791.0
SUNRISE BOULEVARD LLC,BOSTON,MA,561520.0
"MODNE, INC.",CERRITOS,CA,454111.0
"CORBINS SERVICE ELECTRIC, LLC",PHOENIX,AZ,23821.0
"THERAVANCE BIOPHARMA U.S., INC.",SOUTH SAN FRANCISCO,CA,541710.0
"YORK RISK SERVICES GROUP, INC.",PARSIPPANY,NJ,524298.0
VISA TECHNOLOGY & OPERATIONS LLC,FOSTER CITY,CA,522320.0
"RIVERBED TECHNOLOGY, INC.",SUNNYVALE,CA,51121.0
"CISCO SYSTEMS, INC.",SAN JOSE,CA,334111.0
BIRLASOFT INC,EDISON,NJ,541511.0
CUMMINS INC.,NASHVILLE,TN,3336.0
"NTT DATA, INC.",BOSTON,MA,541511.0
SUMITOMO MITSUI BANKING CORPORATION,NEW YORK,NY,522110.0
GOOGLE LLC,MOUNTAIN VIEW,CA,541512.0
"NTT DATA SERVICES, LLC.",BOSTON,MA,541511.0
UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,SANTA BARBARA,CA,611310.0
NATIONWIDE CHILDREN'S HOSPITAL,COLUMBUS,OH,622110.0
"APPLIED MATERIALS, INC.",SANTA CLARA,CA,33441.0
"AMAZON.COM SERVICES, INC.",SEATTLE,WA,454111.0
CHARLES COLE MEMORIAL HOSPITAL,COUDERSPORT,PA,6221.0
"FACEBOOK, INC.",MENLO PARK,CA,518112.0
BANK OF AMERICA N.A.,CHARLOTTE,NC,522110.0
APPLE INC.,CUPERTINO,CA,334111.0
CONTRACT PHARMACAL CORP.,HAUPPAUGE,NY,325412.0
DUBOIS CONSULTANTS INC,KANSAS CITY,MO,541330.0
"GLORIAN, INC",LANGHORNE,PA,541511.0
"FACTSET RESEARCH SYSTEMS, INC.",NORWALK,CT,541512.0
"COPPERCONE, INC.",SANTA CLARA,CA,334611.0
TWO95 INTERNATIONAL,CHERRY HILL,NJ,541511.0
"RESONETICS, LLC",NASHUA,NH,541519.0
ALTIMETRIK CORP,SOUTHFIELD,MI,54151.0
"CYNOSURE, INC.",LISLE,IL,541511.0
CYBERTHINK INC,BRIDGEWATER,NJ,541519.0
"NEWSCYCLE SOLUTIONS, INC.",BLOOMINGTON,MN,541511.0
"PHOTON INFOTECH, INC.",DALLAS,TX,541511.0
"WM MORTGAGEWARE, LLC",TURNERSVILLE,NJ,511210.0
HEWLETT PACKARD ENTERPRISE COMPANY,AUSTIN,TX,54151.0
"ITC INFOTECH (USA), INC.",PARAMUS,NJ,5415.0
"TECHDEMOCRACY, LLC.",EDISON,NJ,541511.0
IGNITE MANAGEMENT CONSULTANTS LLC,RICHARDSON,TX,541618.0
YAHOO! INC.,SUNNYVALE,CA,518112.0
"INOVALON, INC.",BOWIE,MD,541690.0
THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,611310.0
E*TRADE FINANCIAL CORPORATION,NEW YORK,NY,523999.0
ITG SOFTWARE SOLUTIONS INC.,NEW YORK,NY,523930.0
UNIVERSITY OF ILLINOIS,URBANA,IL,611310.0
LAM RESEARCH CORPORATION,FREMONT,CA,333295.0
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,33441.0
"VIRGINIA BEACH FIELD HOUSE, LLC",FREDERICKSBURG,VA,71394.0
KEYBANK NATIONAL ASSOCIATION,CLEVELAND,OH,522110.0
"MERIDIAN TECHNOLOGIES, INC.",FARMINGTON HILLS,MI,541511.0
