LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
"ZYXEL COMMUNICATIONS, INC.",ANAHEIM,CA,423610.0
"ZYTUS,INC",HENRICO,VA,541511.0
"ZYTUS, INC.",RICHMOND,VA,541511.0
"ZYTUS, INC.",HENRICO,VA,541511.0
"ZYTUS, INC",HENRICO,VA,541511.0
ZYTUS INC,HENRICO,VA,541511.0
ZYSCOVICH INC.,MIAMI,FL,541310.0
"ZYRION, INC.",SUNNYVALE,CA,511210.0
ZYNP INTERNATIONAL CORP.,ROMULUS,MI,541614.0
"ZYNGENIA, INC.",GAITHERSBURG,MD,541710.0
ZYNGA INC.,SAN FRANCISCO,CA,516110.0
"ZYMOGENETICS, A BRISTOL-MYERS SQUIBB COMPANY",SEATTLE,WA,541710.0
ZYLOG SYSTEMS LTD.,EDISON,NJ,541511.0
"ZYLOG SYSTEMS LIMITED DBA ZSL, INC.",EDISON,NJ,541511.0
ZYLOG SYSTEMS LIMITED,EDISON,NJ,541511.0
ZYGO CORPORATION,MIDDLEFIELD,CT,333314.0
ZYDUS PHARMACEUTICALS USA INC.,PENNINGTON,NJ,325412.0
"ZYCUS, INC.",PRINCETON,NJ,541511.0
"ZYCRON, INC.",NASHVILLE,TN,561320.0
"ZVENTS, INC.",SAN FRANCISCO,CA,519130.0
"ZUVEN TECHNOLOGIES, INC.",PLANO,TX,541511.0
"ZUTTO YELLOW, INC.",NEW YORK,NY,424330.0
"ZUSYS, INC.",ADDISON,TX,541511.0
ZUST BACHMEIER OF SWITZERLAND INC.,HANOVER,MD,541330.0
"ZURPLE, INC.",CARLSBAD,CA,531390.0
ZURN INDUSTRIES LLC,ERIE,PA,332913.0
"ZURICH GLOBAL INVESTMENT MANAGEMENT, INC.",NEW YORK,NY,524100.0
ZURICH AMERICAN INSURANCE COMPANY,SCHAUMBURG,IL,524126.0
"ZUORA, INC.",REDWOOD CITY,CA,541511.0
"ZUORA, INC.",FOSTER CITY,CA,541511.0
ZUNI PUBLIC SCHOOL DISTRICT #89,ZUNI,NM,611110.0
ZUNA INFOTECH INC.,KOKOMO,IN,541519.0
"ZUMTOBEL LIGHTING, INC.",HIGHLAND,NY,335122.0
"ZUMPER, INC.",SAN FRANCISCO,CA,519130.0
ZUME IT INC,FARMINGTON HILLS,MI,541511.0
"ZUMBA FITNESS, LLC",HALLANDALE,FL,713940.0
ZUMBA FITNESS LLC,HALLANDALE,FL,713940.0
"ZULILY,INC.",SEATTLE,WA,424330.0
"ZULILY, INC.",SEATTLE,WA,424330.0
"ZULILY, INC.",SEATTLE,WA,454111.0
ZULILY INC.,SEATTLE,WA,424330.0
ZULAHOO INC,IRVING,TX,541511.0
"ZUFFA, LLC",LAS VEGAS,NV,71121.0
"ZUCKERBERG MEDIA, LLC",MENLO PARK,CA,54184.0
ZUBI ADVERTISING SERVICES,CORAL GABLES,FL,541810.0
ZUBER LAWLER & DEL DUCA LLP,LOS ANGELES,CA,541110.0
"ZTI MERGER SUBSIDIARY III, INC.",OAKLAND,CA,517910.0
"ZTEC INSTRUMENTS, INC.",ALBUQUERQUE,NM,334515.0
"ZTE USA, INC.",RICHARDSON,TX,517212.0
"ZTE USA, INC.",RICHARDSON,TX,423690.0
"ZT WEALTH, INC.",PEARLAND,TX,523930.0
ZT NET INC,IRVINE,CA,541611.0
ZT GROUP INTERNATIONAL.INC,SECAUCUS,NJ,423430.0
"ZT GROUP INTERNATIONAL, INC.",SECAUCUS,NJ,423430.0
"ZT GROUP INTERNATIONAL, INC",SECAUCUS,NJ,423430.0
"ZT GROUP INTERNATIONAL, INC",SECAUCUS,NJ,541511.0
"ZT GLOBAL INVESTMENTS, INC.",PEARLAND,TX,523920.0
ZT GLOBAL INVESTMENTS INC.,PEARLAND,TX,523930.0
ZSPACE INC,SUNNYVALE,CA,54133.0
ZSL,EDISON,NJ,541511.0
"ZSCALER, INC.",SAN JOSE,CA,541511.0
"ZS ASSOCIATES, INC.",EVANSTON,IL,541613.0
"ZS ASSOCIATES, INC",EVANSTON,IL,541613.0
"ZQGAME, INC.",EL SEGUNDO,CA,541511.0
ZQ GAME INC.,EL SEGUNDO,CA,541511.0
"ZOYTO SERVICES, LTD.",HOUSTON,TX,541614.0
"ZOUNDS HEARING, INC.",PHOENIX,AZ,446199.0
"ZOTOS INTERNATIONAL, INC.",GENEVA,NY,446120.0
ZOTOS INTERNATIONAL INC.,DARIEN,CT,446120.0
ZORREL INTERNATIONAL INC,GRANDVIEW,MO,315990.0
"ZORLU USA, INC.",NEW YORK,NY,31412.0
"ZORLU USA, INC",NEW YORK,NY,31421.0
"ZOOZ MOBILE, INC.",ATLANTA,GA,518210.0
