LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
"JO-ANN STORES, INC.",HUDSON,OH,451120
DENKEN SOLUTIONS INC.,IRVINE,CA,541512
"EPITEC, INC.",SOUTHFIELD,MI,541511
"SYSTEMS TECHNOLOGY GROUP, INC.",TROY,MI,541511
E-GIANTS TECHNOLOGIES LLC,CLIVE,IA,541511
"BIZINTEX, INC.",WOODSTOCK,GA,541511
"NEMO IT SOLUTIONS, INC",RICHARDSON,TX,541511
"MAGNA INFOTECH, LTD.",OVERLAND PARK,KS,541511
CIRA INFOTECH INC.,ALPHARETTA,GA,541511
SPRY INFO SOLUTIONS INC.,ALPHARETTA,GA,541511
TECH MATRIX INC,NORTH BRUNSWICK,NJ,541511
"LOGIC PLANET, INC.",PRINCETON,NJ,541519
"P3 NORTH AMERICA, INC.",SOUTHFIELD,MI,541330
"ESG AUTOMOTIVE, INC.",TROY,MI,541330
CYBERTHINK INC,BRIDGEWATER,NJ,541519
"THOUGHT BYTE, INC.",NUTLEY,NJ,541511
POLARIS CONSULTING & SERVICES LTD,PISCATAWAY,NJ,541512
"XENONINFOTEK, INC.",EDISON,NJ,541511
"COMPUNNEL SOFTWARE GROUP, INC.",PLAINSBORO,NJ,541511
"INDSOFT, INC.",NAPERVILLE,IL,541511
SAPPHIRE SOFTWARE SOLUTIONS INC.,ASHBURN,VA,54151
VISTA APPLIED SOLUTIONS GROUP INC,HERNDON,VA,541511
CYMA SYSTEMS INC,MANCHESTER,CT,541511
PANTAR SOLUTIONS INC,CHARLOTTE,NC,541511
BYTEWARE INC,SUWANEE,GA,541511
"NOVISYNC, INC.",FISHKILL,NY,541511
AVANI TECHNOLOGY SOLUTIONS INC.,ROCHESTER,NY,541511
GCOM SOFTWARE LLC,ALBANY,NY,541511
"SOFT 2001, INC.",CHERRY HILL,NJ,541511
INTERNATIONAL TECHNOLOGY SOLUTIONS INC.,MONMOUTH JUNCTION,NJ,541512
APPLIED COMPUTER TECHNIQUES,WIXOM,MI,541511
CSXTECH INC.,PLANO,TX,541511
"ACADIA TECHNOLOGIES, INC.",DULUTH,GA,541511
"SAICON TECHNOLOGIES, INC.",OVERLAND PARK,KS,541511
"HUMETIS TECHNOLOGIES, INC.",KINGSTON,NJ,541511
"SPERIDIAN TECHNOLOGIES, LLC",ALBUQUERQUE,NM,541511
PRABHAV SERVICES INC.,PARSIPPANY,NJ,541511
PROFICIENT BUSINESS SYSTEMS INC.,DULUTH,GA,541511
BLUE FUSION ENTERPRISE TECHNOLOGIES INC,ROSWELL,GA,541511
AMITI CONSULTING INC,ASHBURN,VA,541511
"CERIUM SYSTEMS, INC.",SANTA CLARA,CA,541330
9LOGIC TECHNOLOGIES INC,REDMOND,WA,541511
SPARKSOFT CORPORATION,COLUMBIA,MD,541511
"GREEN PHARMATEK, INC.",EDISON,NJ,541618
INTONE NETWORKS INC.,ISELIN,NJ,541519
"JUNIPER NETWORKS, INC.",SUNNYVALE,CA,54151
INFOGAIN CORPORATION,LOS GATOS,CA,541511
XTRACIT INC.,CHARLOTTE,NC,541511
"VERSA NETWORKS, INC.",SAN JOSE,CA,511210
"IT DIVISION, INC.",CUMMING,GA,541511
INFOSYS LIMITED,RICHARDSON,TX,541511
"BITSOFT INTERNATIONAL, INC.",AURORA,IL,541511
PATEL CONSULTANTS CORPORATION,UNION,NJ,541511
ANJUS LLC,ROSWELL,GA,541519
PRECISION TECHNOLOGIES CORP,MONMOUTH JUNCTION,NJ,541519
"UKTHA GLOBAL, INC.",SUWANEE,GA,541511
"IRIS SOFTWARE, INC.",EDISON,NJ,541511
CAPGEMINI AMERICA INC,CHICAGO,IL,5416
COMPETENT SYSTEMS INC.,ALPHARETTA,GA,541511
TATA CONSULTANCY SERVICES LIMITED,ROCKVILLE,MD,541511
"HCL AMERICA, INC.",SUNNYVALE,CA,541511
WIPRO LIMITED,EAST BRUNSWICK,NJ,541511
MINDTREE LIMITED,WARREN,NJ,541511
MPHASIS CORPORATION,NEW YORK,NY,541511
HEXAWARE TECHNOLOGIES INC.,ISELIN,NJ,541512
TAAL TECHNOLOGIES INC.,HOUSTON,TX,541330
NOESYS INC,CHANTILLY,VA,541519
"TECH MAHINDRA (AMERICAS),INC.",BEDMINSTER,NJ,541511
"HEXAWARE TECHNOLOGIES, INC.",ISELIN,NJ,541512
"INNOVA SOLUTIONS, INC.",DULUTH,GA,541511
"V-SOFT CONSULTING GROUP, INC",LOUISVILLE,KY,541511
"SAIPSIT, INC.",HOUSTON,TX,541511
"INTENT DESIGN, LTD.",FARMINGTON HILLS,MI,541330
"TATA TECHNOLOGIES, INC.",NOVI,MI,541330
SYSINTELLI INC.,SAN DIEGO,CA,541519
HRK SOLUTIONS LLC,FRISCO,TX,541511
SAPVIX INC,FREMONT,CA,541511
"FRONTIER TECHNOLOGIES, LLC",NAPERVILLE,IL,541511
IMR SOFT LLC,PRINCETON,NJ,541511
"CAPGEMINI AMERICA, INC.",CHICAGO,IL,541511
APPTAD INC,RESTON,VA,541511
"NOBLESOFT SOLUTIONS, INC.",LANGHORNE,PA,541990
