LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
DISCOVER PRODUCTS INC.,RIVERWOODS,IL,522210
DFS SERVICES LLC,RIVERWOODS,IL,522210
EASTBANC TECHNOLOGIES LLC,WASHINGTON,DC,541511
INFO SERVICES LLC,LIVONIA,MI,541511
BB&T CORPORATION,WILSON,NC,522110
"SUNTRUST BANKS, INC.",ATLANTA,GA,522110
CITADEL INFORMATION SERVICES INC.,ISELIN,NJ,541511
ADVANCED TECHNOLOGY GROUP USA INC,PLAINSBORO,NJ,541511
ITAS INC,INDIANAPOLIS,IN,541519
BATTELLE,RICHLAND,WA,541700
HARMONY SCIENCE ACADEMY-HOUSTON HIGH,HOUSTON,TX,611110
HARMONY SCIENCE ACADEMY-WACO,WACO,TX,611110
"IDC TECHNOLOGIES, INC.",MILPITAS,CA,541511
OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OR,611310
GIMMAL LLC,HOUSTON,TX,5416
HARMONY SCIENCE ACADEMY-EULESS,EULESS,TX,611110
"PLANTRONICS, INC.",SANTA CRUZ,CA,334220
THE UNIVERSITY OF CHICAGO,CHICAGO,IL,611310
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",LOS ANGELES,CA,611310
"AXCESS FINANCIAL SERVICES, INC.",CINCINNATI,OH,5239
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,611310
"J.B. HUNT TRANSPORT SERVICES, INC.",LOWELL,AR,484120
TECHTOMIX LLC,CONCORD,NC,541511
"SEQUENOM CENTER FOR MOLECULAR MEDICINE, LLC",GRAND RAPIDS,MI,621511
"CAREMARK, LLC",IRVING,TX,424210
HEARST COMMUNICATIONS INC.,NEW YORK,NY,511120
LIBSYS INC,NAPERVILLE,IL,541519
TARLETON STATE UNIVERSITY,STEPHENVILLE,TX,611310
MEDIATEK USA INC.,SAN JOSE,CA,334410
THE UNIVERSITY OF GEORGIA,ATHENS,GA,611310
HARMONY SCHOOL OF FINE ARTS & TECHNOLOGY,HOUSTON,TX,611110
DOVE SCIENCE ACADEMY-TULSA,TULSA,OK,611110
LITTLE SCHOLARS OF ARKANSAS,SHERWOOD,AR,611110
HARMONY SCHOOL OF INNOVATION-DALLAS,CARROLLTON,TX,611110
HARMONY SCHOOL OF INNOVATION-GARLAND,GARLAND,TX,611110
HARMONY SCIENCE ACADEMY-SAN ANTONIO,SAN ANTONIO,TX,611110
HARMONY SCHOOL OF INNOVATION-HOUSTON,HOUSTON,TX,611110
HARMONY SCHOOL OF SCIENCE-HOUSTON HIGH,SUGARLAND,TX,611110
HARMONY SCHOOL OF INNOVATION-EL PASO,EL PASO,TX,611110
HARMONY SCIENCE ACADEMY-DALLAS,DALLAS,TX,611110
HARMONY SCHOOL OF POLITICAL SCIENCE AND COMMUNICATION,AUSTIN,TX,611110
HARMONY SCIENCE ACADEMY-BROWNSVILLE,BROWNSVILLE,TX,611110
HARMONY SCHOOL OF BUSINESS,DALLAS,TX,611110
HARMONY SCHOOL OF NATURE & ATHLETICS,DALLAS,TX,611110
OOYALA INC.,MOUNTAIN VIEW,CA,511210
HARMONY SCHOOL OF EXCELLENCE-AUSTIN,AUSTIN,TX,611110
UNIVERSITY OF PITTSBURGH,PITTSBURGH,PA,611310
"CAREMARK, LLC",WOONSOCKET,RI,424210
