LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
"GENESIS ELDERCARE REHABILITATION SERVICES, INC.",KENNETT SQUARE,PA,621340.0
EMC CORPORATION,HOPKINTON,MA,541511.0
"CITIBANK, N.A.",NEW YORK,NY,523110.0
"BARUCH COLLEGE, CUNY",NEW YORK,NY,611310.0
SHEPHERD UNIVERSITY,SHEPHERDSTOWN,WV,611310.0
ASURION CORPORATION,NASHVILLE,TN,517211.0
JACOBS ENGINEERING GROUP INC.,LAKEWOOD,CO,23622.0
SEAGATE US LLC,CUPERTINO,CA,334112.0
MODANI HOLDINGS LLC,MIAMI,FL,442110.0
THIRDWARE SOLUTION INC.,NOVI,MI,541511.0
"FITBIT, INC.",SAN FRANCISCO,CA,334111.0
"WP COMPANY, LLC",WASHINGTON,DC,511110.0
FAIRWAYS360,SAN ANTONIO,TX,541511.0
TALEO CORPORATION,DUBLIN,CA,541511.0
"MOODY'S SHARED SERVICES, INC.",NEW YORK,NY,541990.0
"UNITED HEALTHCARE SERVICES, INC.",MINNETONKA,MN,621491.0
"SOFTWARE AG USA, INC.",RESTON,VA,541519.0
"ABBOTT CAPITAL MANAGEMENT, LLC",NEW YORK,NY,5239.0
MPHASIS CORPORATION,NEW YORK,NY,541511.0
"NEW ALBERTSON'S, INC.",BOISE,ID,446110.0
"QIAGEN SHARED SERVICES, INC.",GAITHERSBURG,MD,541710.0
ERICSSON INC.,PLANO,TX,334220.0
"TRADEWIND NET ACCESS, INC.",MOUNT LAUREL,NJ,541511.0
"RIOT GAMES, INC.",SANTA MONICA,CA,511210.0
"E2OPEN,INC.",FOSTER CITY,CA,541519.0
"TANGOME, INC.",PALO ALTO,CA,511210.0
"MOODY'S INVESTORS SERVICE, INC.",NEW YORK,NY,561450.0
MINDJET LLC,SAN FRANCISCO,CA,541519.0
"WORLEYPARSONS GROUP, INC.",BELLAIRE,TX,541330.0
IFLOWOSOFT SOLUTIONS INC.,ISELIN,NJ,541519.0
VERIZON DATA SERVICES LLC,IRVING,TX,517919.0
"BORGWARNER TURBO & EMISSION SYSTEMS, INC.",ARDEN,NC,3363.0
