original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
4,5,2013,,1905.0,,NEW YORK,NY,10001.0,0,0,1,0,,Original,
6,7,2013,,3096.0,,FAIRFAX,VA,22031.0,0,0,1,0,,Original,
7,8,2013,,3508.0,,FAIR OAKS,CA,95628.0,0,0,0,1,,Original,
11,12,2013,,8420.0,,ENGLEWOOD,NJ,7631.0,0,0,1,0,,Original,
13,14,2013,,9547.0,,NEW YORK,NY,10021.0,0,1,0,0,,Original,
15,16,2013,,9958.0,,FORT LAUDERDALE,FL,33316.0,0,1,0,0,,Original,
17,18,2013,0-1-5 WORLDWIDE INC,4560.0,,RIDGEWOOD,NJ,7450.0,0,0,0,1,,Original,
18,19,2013,1 S PREVENTIVE MEDICINE INC,,,MCKINNEY,TX,75070.0,0,0,1,0,,Original,
21,22,2013,1-800-FLOWERS.COM INC,7311.0,,CARLE PLACE,NY,11514.0,0,0,3,0,,Original,
22,23,2013,1SEO.COM,863.0,,LEVITTOWN,PA,19057.0,1,0,0,0,,Original,
29,30,2013,1ST FIRE & SECURITY INC,9555.0,,VERO BEACH,FL,32962.0,0,0,1,0,,Original,
31,32,2013,1ST ORIENTAL MARKET LLC,,,ORLANDO,FL,32803.0,1,0,0,0,,Original,
32,33,2013,1ST ORIENTAL MARKET LLC,7242.0,,ORLANDO,FL,32808.0,0,0,1,0,,Original,
33,34,2013,1ST PLACE SPORTS INC,7854.0,,JACKSONVILLE,FL,32217.0,1,0,0,0,,Original,
37,38,2013,1STDIBS.COM INC,9618.0,,NEW YORK,NY,10010.0,0,0,2,0,,Original,
40,41,2013,2 7 AUGUST APPAREL INC DBA ENGLISH,9873.0,,LOS ANGELES,CA,90021.0,1,0,0,0,,Original,
41,42,2013,2 CUTE WOLESALE INC,4657.0,,DEER PARK,NY,11729.0,1,0,0,0,,Original,
42,43,2013,2ADVANCED STUDIOS LLC,9494.0,,ALISO VIEJO,CA,92656.0,1,0,0,0,,Original,
43,44,2013,2CMD INC,2491.0,,FORT WORTH,TX,76120.0,1,0,0,0,,Original,
45,46,2013,2COMU INC,984.0,,FAIRFAX,VA,22030.0,0,1,0,0,,Original,
46,47,2013,2G PRODUCTIONS INC,1684.0,,NEW YORK,NY,10001.0,0,1,0,0,,Original,
47,48,2013,2H OFFSHORE INC,3800.0,,HOUSTON,TX,77079.0,4,0,2,0,,Original,
48,49,2013,2J GROUP INC,7946.0,,HALETHORPE,MD,21227.0,0,0,1,0,,Original,
52,53,2013,2U INC,1646.0,,HYATTSVILLE,MD,20785.0,0,0,1,0,,Original,
53,54,2013,3 1 PHILLIP LIM LLC,6764.0,,NEW YORK,NY,10013.0,2,0,0,0,,Original,
55,56,2013,3 DESIGN INC,9017.0,,MIAMI,FL,33131.0,0,1,0,0,,Original,
59,60,2013,3 RIVERS FLOORING INC,8914.0,,WEST HELENA,AR,72390.0,1,0,0,0,,Original,
60,61,2013,3 RIVERS HEALTH & REHABILITATION C,4094.0,,WINDSOR,NC,27983.0,0,0,1,0,,Original,
62,63,2013,3 STONE DENTAL PLLC,1754.0,,ALBANY,NY,12206.0,0,0,1,0,,Original,
63,64,2013,3 STONE DENTAL PLLC,9612.0,,CLAREMONT,NH,3743.0,1,0,0,0,,Original,
67,68,2013,3B & J GR INC DBA LAO WN ACADEMY,2049.0,,ROSWELL,GA,30075.0,0,1,0,0,,Original,
69,70,2013,3BTECH INC,7535.0,,SOUTH BEND,IN,46628.0,1,0,0,0,,Original,
78,79,2013,3D PERFORMANCE TRAINING INC,9722.0,,BIRMINGHAM,AL,35242.0,1,0,0,0,,Original,
80,81,2013,3DBIN INC,7667.0,,REDWOOD CITY,CA,94063.0,0,0,1,0,,Original,
82,83,2013,3DM PAYROLL INC,2910.0,,ATLANTA,GA,30309.0,1,0,1,0,,Original,
85,86,2013,3DOO INC,8750.0,,ASTORIA,NY,11103.0,1,0,0,0,,Original,
86,87,2013,3E COMPANY,1631.0,,CARLSBAD,CA,92010.0,0,0,1,0,,Original,
