original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
0,1,2010,,,,LONG ISLAND CITY,NY,11101.0,0,0,0,1,,Original,
30,31,2010,1 WAY SOLUTIONS INC,3700.0,,MARIETTA,GA,30067.0,0,0,1,0,,Original,
34,35,2010,1ST CHOICE GROUP LLC,8258.0,,NAPLES,FL,34110.0,0,0,1,0,,Original,
40,41,2010,1ST SIGN INC,7633.0,,LA PUENTE,CA,91744.0,0,1,0,0,,Original,
42,43,2010,1STDIBS.COM INC,9618.0,,NEW YORK,NY,10010.0,1,0,0,0,,Original,
43,44,2010,2 SISTERS FOOD GROUP INC,9213.0,,RIVERSIDE,CA,92518.0,1,0,0,0,,Original,
63,64,2010,3COM CORPORATION,5794.0,,AUSTIN,TX,78731.0,1,0,1,0,,Original,
64,65,2010,3COM CORPORATION,5794.0,,MARLBOROUGH,MA,1752.0,0,0,2,0,,Original,
83,84,2010,3M COMPANY,7775.0,,ST PAUL,MN,55144.0,0,0,1,0,,Original,
98,99,2010,3S NETWORK INC,9275.0,,BELLEVUE,WA,98008.0,5,0,0,0,,Original,
101,102,2010,3TEL INC,97.0,,SCHAUMBURG,IL,60193.0,0,0,1,0,,Original,
102,103,2010,3VR SECURITY INC,1017.0,,SAN FRANCISCO,CA,94107.0,1,0,0,0,,Original,
110,111,2010,4G COMMUNICATIONS INC,2610.0,,FAYETTEVILLE,NC,28374.0,0,0,1,0,,Original,
113,114,2010,4J S FABRIC INC,5048.0,,LOS ANGELES,CA,90007.0,1,0,0,0,,Original,
120,121,2010,5 11 INC,3499.0,,MODESTO,CA,95356.0,0,0,1,0,,Original,
122,123,2010,5 POINTS ELECTRICAL COMPANY,5158.0,,DULUTH,GA,30096.0,0,0,1,0,,Original,
129,130,2010,6K SYSTEMS INC,5659.0,,LEESBURG,VA,20176.0,0,0,1,0,,Original,
141,142,2010,9 SQUARED INC DBA ZED USA,920.0,,DENVER,CO,80202.0,0,0,1,0,,Original,
142,143,2010,01 COMMUNIQUE LABORATORY INC,3190.0,,ARLINGTON,VA,22201.0,2,0,0,0,,Original,
149,150,2010,16 COPENHAGEN,8614.0,,SEATTLE,WA,98103.0,0,0,1,0,,Original,
155,156,2010,21ST CENTURY CLOUD COMPUTING LLC,9920.0,,BOCA RATON,FL,33431.0,1,0,0,0,,Original,
