LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
XPEDITE TECHNOLOGIES INC,COLUMBIA,MD,541511.0
CYBER RESOURCE GROUP INC,NORTH BRUNSWICK,NJ,541511.0
"MICRON TECHNOLOGY, INC.",BOISE,ID,334413.0
"NATIONAL INSTITUTES OF HEALTH, HHS",BETHESDA,MD,541712.0
"MARLABS, INC",PISCATAWAY,NJ,541511.0
LIBSYS INC,NAPERVILLE,IL,541519.0
JEFFERSON WELLS INTERNATIONAL,MILWAUKEE,WI,541219.0
CDC GLOBAL SERVICES INC.,FAIRFIELD,NJ,541511.0
"ELEMENT115, LLC",CHICAGO,IL,541511.0
"KINETICOM, INC.",SAN DIEGO,CA,541690.0
"CLEARWATER CAPITAL PARTNERS, LLC",NEW YORK,NY,525910.0
UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,611310.0
TECHNOLOGY CONSULTANTS INC,FARMINGTON,MI,541511.0
UNIVERSITY OF COLORADO,BOULDER,CO,611310.0
NORTHEASTERN UNIVERSITY,BOSTON,MA,611310.0
WEBILENT TECHNOLOGY INC,WINDSOR,CT,541511.0
ADITI TECHNOLOGIES PVT. LTD.,BELLEVUE,WA,541511.0
"INNOVATECH SOLUTIONS, INC.",NORTH BRUNSWICK,NJ,541511.0
MICROSOFT CORPORATION,REDMOND,WA,51121.0
"Q-INDUSTRIES, INC.",WASHINGTON,DC,541511.0
"SARANSH, INC.",PLAINSBORO,NJ,541511.0
"DAMCO GROUP, LLC",ROYAL PALM BEACH,FL,551112.0
FRANCEPRESS LLC,NEW YORK,NY,5111.0
RESEARCH FOUNDATION OF CUNY,NEW YORK,NY,611300.0
EBAY INC.,SAN JOSE,CA,454112.0
MAYO CLINIC ROCHESTER,ROCHESTER,MN,611310.0
JACKSON STATE UNIVERSITY,JACKSON,MS,611310.0
AMERICA'S CHOICE,WASHINGTON,DC,923110.0
THE UNIVERSITY OF CHICAGO,CHICAGO,IL,611310.0
WALGREEN CO.,DEERFIELD,IL,446110.0
"ERP ANALYSTS, INC.",DUBLIN,OH,541512.0
PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,UPPER MARLBORO,MD,611110.0
"SYSINTELLI, INC",SAN DIEGO,CA,541519.0
GLOBAL INFOTECH CORPORATION,SANTA CLARA,CA,541511.0
NIXSOL INC.,DUNELLEN,NJ,541511.0
