original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
5,6,2020,1 DUST TECHNOLOGY LLC,5330.0,,CHESTERFIELD,MO,63017.0,0,1,0,0,,Original,
12,13,2020,1BYONE PRODUCTS INC,4817.0,,ONTARIO,CA,91761.0,0,1,0,0,,Original,
18,19,2020,1POINT3ACRES LLC,301.0,,BELLEVUE,WA,98005.0,0,0,2,0,,Original,
22,23,2020,1STDIBS COM INC,9618.0,,NEW YORK,NY,10003.0,0,0,1,0,,Original,
34,35,2020,2MC EMPLOYEE MANAGEMENT LLC,843.0,,CINCINNATI,OH,45249.0,2,0,0,0,,Original,
60,61,2020,3D IMAGING AND SIMULATION CORP AME,469.0,,HERNDON,VA,20170.0,1,0,0,0,,Original,
78,79,2020,3IC RESEARCH,6320.0,,BOSTON,MA,2109.0,1,0,0,0,,Original,
104,105,2020,4 SERV SOLUTIONS INC,,,WIXOM,MI,48393.0,0,0,0,1,,Original,
108,109,2020,4A CONSULTING LLC,172.0,,ELLICOTT CITY,MD,21043.0,0,0,1,0,,Original,
126,127,2020,4VOICE LLC,8579.0,,BOCA RATON,FL,33487.0,0,0,1,0,,Original,
152,153,2020,7PARK DATA INC,6937.0,,BELLEVUE,WA,98004.0,0,0,1,0,,Original,
168,169,2020,8X8 INC,2404.0,,CAMPBELL,CA,95008.0,2,0,7,0,,Original,
169,170,2020,8X8 INC,2404.0,,SAN JOSE,CA,95131.0,0,0,17,1,,Original,
193,194,2020,13 RATTLES INC,721.0,,NEW YORK,NY,10013.0,2,0,1,0,,Original,
201,202,2020,21 STAFF LLC,3144.0,,PLEASANTON,CA,94588.0,0,0,0,1,,Original,
212,213,2020,24 EAST 12TH STREET ASSOCIATES,8304.0,,NEW YORK,NY,10011.0,0,0,1,0,,Original,
223,224,2020,33 UNIVERSAL INC,7761.0,,NEW YORK,NY,10004.0,0,0,1,0,,Original,
227,228,2020,41ST PARAMETER INC,8748.0,,COSTA MESA,CA,92626.0,1,1,0,0,,Original,
234,235,2020,75F INC,7412.0,,MINNEAPOLIS,MN,55431.0,0,0,1,0,,Original,
241,242,2020,98 FAVOR TASTE RESTAURANT INC DBA,8095.0,,NEW YORK,NY,10003.0,0,1,0,0,,Original,
248,249,2020,110 HOLDINGS LLC,9516.0,,BELLEVUE,WA,98005.0,0,0,1,0,,Original,
250,251,2020,123STORES INC,8190.0,,LONG IS CITY,NY,11101.0,1,0,0,0,,Original,
259,260,2020,251 PARTNERS LLC DBA PB CATCH,6022.0,,PALM BEACH,FL,33480.0,0,0,1,0,,Original,
272,273,2020,412 LLC DBA ARTJAIL,1690.0,,NEW YORK,NY,10002.0,0,0,1,0,,Original,
293,294,2020,1131LTD,9624.0,,YOUNGSTOWN,OH,44511.0,0,1,0,0,,Original,
