original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
20,21,2018,1STDIBS.COM,9618.0,,NEW YORK,NY,10003.0,0,0,2,0,,Original,
26,27,2018,2 V INC,5935.0,,LOS ANGELES,CA,90021.0,0,1,0,0,,Original,
28,29,2018,2B WIRELESS LLC,1977.0,,PHOENIX,AZ,85051.0,1,0,0,0,,Original,
39,40,2018,2X4 INC,7745.0,,NEW YORK,NY,10014.0,1,0,0,0,,Original,
70,71,2018,3I INFOTECH INC,3452.0,,EDISON,NJ,8837.0,0,0,0,1,,Original,
84,85,2018,3MD INC DBA DENALI ADVANCED,116.0,,REDMOND,WA,98052.0,0,0,1,0,,Original,
103,104,2018,3VR SECURITY INC,1017.0,,SAN FRANCISCO,CA,94103.0,1,0,0,0,,Original,
106,107,2018,4 S T E L ENGINEERING INC,2721.0,,MISSION VIEJO,CA,92691.0,1,0,0,0,,Original,
145,146,2018,7 MILE ADVISORS LLC,7604.0,,CHARLOTTE,NC,28202.0,0,0,1,0,,Original,
162,163,2018,8X8 INC,2404.0,,CAMPBELL,CA,95008.0,0,0,2,0,,Original,
163,164,2018,8X8 INC,2404.0,,SAN JOSE,CA,95131.0,8,1,27,0,,Original,
193,194,2018,22 E 54TH ST RESTAURANT CORP DBA P,5500.0,,NEW YORK,NY,10022.0,0,0,1,0,,Original,
197,198,2018,23ANDME INC,7371.0,,MOUNTAIN VIEW,CA,94041.0,0,0,1,0,,Original,
233,234,2018,88 INTERNATIONAL INC,7511.0,,ALHAMBRA,CA,91803.0,0,0,0,1,,Original,
234,235,2018,89 DEGREES INC,7128.0,,BURLINGTON,MA,1803.0,0,0,1,0,,Original,
239,240,2018,99 FAVOR TASTE RESTAURANT INC,6702.0,,NEW YORK,NY,10002.0,1,0,0,0,,Original,
243,244,2018,012 GLOBAL INC,3065.0,,MARGATE,FL,33063.0,0,0,1,0,,Original,
276,277,2018,451 RESEARCH LLC,6503.0,,NEW YORK CITY,NY,10018.0,0,0,1,0,,Original,
283,284,2018,650 INDUSTRIES INC,7843.0,,PALO ALTO,CA,94301.0,1,0,0,0,,Original,
304,305,2018,2600HZ INC,7748.0,,SAN FRANCISCO,CA,94108.0,0,0,2,0,,Original,
310,311,2018,A 1 IOWA DENTAL PLLC,1141.0,,URBANDALE,IA,50322.0,0,0,1,0,,Original,
316,317,2018,A 1 TRADING INC,7231.0,,SANTA CLARA,CA,95050.0,0,1,0,0,,Original,
319,320,2018,A & A QUALITY APPLIANCE INC,5712.0,,THORNTON,CO,80260.0,1,0,0,0,,Original,
339,340,2018,A CHEMTEK INC,2636.0,,LEXINGTON,MA,2420.0,1,0,0,0,,Original,
340,341,2018,A CHEMTEK INC,2636.0,,WORCESTER,MA,1606.0,1,0,0,0,,Original,
359,360,2018,A M KING CONSTRUCTION COMPANY LLC,7632.0,,GREENVILLE,SC,29607.0,1,0,0,0,,Original,
363,364,2018,A MEDIUM CORPORATION,8864.0,,SAN FRANCISCO,CA,94102.0,0,0,2,0,,Original,
379,380,2018,A SQUARE GROUP LLC,4429.0,,FREDERICK,MD,21704.0,1,0,0,0,,Original,
381,382,2018,A T KEARNEY,,,SAN FRANCISCO,CA,94111.0,1,0,0,0,,Original,
382,383,2018,A T KEARNEY INC,856.0,,CHICAGO,IL,60606.0,0,1,0,0,,Original,
383,384,2018,A T KEARNEY INC,8565.0,,CHICAGO,IL,60606.0,0,2,0,0,,Original,
389,390,2018,A TOP STAR INC DBA OPTIMUS DENTAL,4364.0,,GRIMES,IA,50111.0,0,1,0,0,,Original,
391,392,2018,A W MOBILE INC,4876.0,,BETHPAGE,NY,11714.0,0,0,1,0,,Original,
404,405,2018,A2Z DEVELOPMENT CTR INC D/B/A LAB1,,,SEATTLE,WA,98121.0,0,0,1,0,,Original,
405,406,2018,A2Z DEVELOPMENT CTR INC D/B/A LAB1,4484.0,,SEATTLE,WA,98121.0,43,0,105,0,,Original,
427,428,2018,A100 US LLC,9115.0,,SEATTLE,WA,98121.0,0,0,3,0,,Original,
448,449,2018,A&M SECURITIES LLC,281.0,,NEW YORK,NY,10022.0,0,0,1,0,,Original,
453,454,2018,A&V CONSTRUCTION LLC,9507.0,,SWEDESBORO,NJ,8085.0,0,1,0,0,,Original,
475,476,2018,AAA VENTURE LLC DBA 1947 INDIAN RE,,,STERLING,VA,20164.0,0,1,0,0,,Original,
505,506,2018,AARON DIAMOND AIDS RESEARCH CENTER,234.0,,NEW YORK,NY,10016.0,1,0,0,0,,Original,
507,508,2018,AARON THOMAS CO INC,2539.0,,GARDEN GROVE,CA,92841.0,1,0,0,0,,Original,
508,509,2018,AARONS INC,7630.0,,ATLANTA,GA,30339.0,0,0,1,0,,Original,
558,559,2018,ABBOTT STRINGHAM & LYNCH,1130.0,,SAN JOSE,CA,95125.0,0,0,1,0,,Original,
568,569,2018,ABC HOBBIES RADIO CONTROL,,,LAREDO,TX,78041.0,0,0,1,0,,Original,
570,571,2018,ABC INC,4013.0,,BURBANK,CA,91521.0,0,0,1,0,,Original,
591,592,2018,ABG OPERATING LLC D/B/A AMERICAN B,4265.0,,SAVANNAH,TN,38372.0,0,0,1,0,,Original,
606,607,2018,ABL AUTOMATION INC,272.0,,NEW BERLIN,WI,53151.0,2,0,0,0,,Original,
610,611,2018,ABM CONTROLS INC,6428.0,,FLORAL PARK,NY,11001.0,7,0,0,0,,Original,
631,632,2018,ABRIDGE INFO SYSTEMS INC,156.0,,CHELMSFORD,MA,1824.0,0,1,1,0,,Original,
663,664,2018,ABSOLUTE THERAPY & STAFFING LLC,8220.0,,RICHMOND,TX,77407.0,1,0,0,0,,Original,
670,671,2018,ABUNDANCE IT INC,1262.0,,FRISCO,TX,75035.0,0,2,0,0,,Original,
