year,naics_2digit,initial_approvals,initial_denials,continuing_approvals,continuing_denials,total_approvals,total_denials,total_applications,denial_rate,total_employment,AVG_WAGE,inflation_rate,pre_period_employment,h1b_dependency_current,h1b_dependency_preperiod,real_wage,avg_preperiod_dependency,post_treatment,high_dependency_median,high_dependency_top25,high_dependency_top10,did_median,did_top25,did_top10,did_continuous,triple_int_median,triple_int_top25,log_wage,log_real_wage,naics_factor,year_factor,industry_category,unemployment_total,unemployment_rate,offshoring_value,union_total_employed,union_members,union_pct,represented,represented_pct,h1b_unemployment_ratio,offshoring_per_employee,union_h1b_ratio,log_unemployment,log_offshoring,log_union,high_unemployment,high_union,high_offshoring,did_unemployment,did_union,did_offshoring
2012,11,135,15,152,5,287,20,307,0.0651465798045603,1962510,43353.08548,2.0693,2028730,1.4624129303799e-4,1.4146781483982e-4,42474.1675312753,1.303278405702e-4,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,10.677133155685,10.6566513473198,11,2012,"Agriculture, Forestry, Fishing and Hunting",188,12.4,54.9,NA,NA,NA,NA,NA,0.0011793652664354032,2.797437974838345e-5,NA,5.241747015059643,4.023564380161053,NA,TRUE,FALSE,TRUE,0,0,0
2012,21,810,20,778,18,1588,38,1626,0.023370233702337002,3903550,65534.86033,2.0693,3852506,4.0680918650971e-4,4.121992282426e-4,64206.2405934007,3.5675479804574e-4,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,11.0903374988238,11.0698556904586,21,2012,"Mining, Quarrying, and Oil and Gas Extraction",59,6,231.7,NA,NA,NA,NA,NA,0.006780153108495167,5.9356227024119067e-5,NA,4.0943445622221,5.449750070308246,NA,TRUE,FALSE,TRUE,0,0,0
2012,22,291,6,512,10,803,16,819,0.0195360195360195,2760390,68529.39453,2.0693,2741150,2.9090092342024e-4,2.9294274300932e-4,67140.0651616108,2.88054283786e-4,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,11.1350180494321,11.1145362410669,22,2012,Utilities,38,4.3,39.5,NA,NA,NA,NA,NA,0.00676513775395907,1.4309572198131424e-5,NA,3.6635616461296463,3.7013019741124933,NA,FALSE,FALSE,FALSE,0,0,0
2012,23,533,32,552,21,1085,53,1138,0.046572934973638,28029300,52109.96364,2.0693,30492796,3.8709493280246e-5,3.55821748848482e-5,51053.5132895004,3.91895843201784e-5,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.8611114501483,10.8406296417831,23,2012,Construction,1129,13.9,56.1,NA,NA,NA,NA,NA,2.784855631672374e-4,2.001477025826546e-6,NA,7.029972911706386,4.044804116661965,NA,TRUE,FALSE,FALSE,0,0,0
2012,31-33,12706,386,14563,281,27269,667,27936,0.0238760022909507,59217830,54009.4365752381,2.0693,60255010,4.6048630961316e-4,4.5255987842338e-4,52914.4772965408,4.4704000547008e-4,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,10.8969140616725,10.8764322533073,31-33,2012,Manufacturing,1122,7.3,4765.5,NA,NA,NA,NA,NA,0.0063080316385364385,8.047407343362633e-5,NA,7.023758954738443,8.469367561933632,NA,TRUE,FALSE,TRUE,0,0,0
2012,42,1319,182,1313,39,2632,221,2853,0.0774623203645286,28082190,54052.9572533333,2.0693,28696212,9.37248839923097e-5,9.17194227586554e-5,52957.1156590016,1.1718619865228e-4,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.8977195348608,10.8772377264956,42,2012,Wholesale Trade,225,6,807.4,NA,NA,NA,NA,NA,0.0015620813998718285,2.87513188964251e-5,NA,5.420534999272286,6.695056985529466,NA,TRUE,FALSE,TRUE,0,0,0
2012,44-45,2254,202,3162,74,5416,276,5692,0.0484891075193254,74757040,42442.43224,2.0693,77136482,7.24480262995967e-5,7.02132098790816e-5,41581.9764023071,8.33535550662007e-5,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.6559039011706,10.6354220928054,44-45,2012,Retail Trade,1438,8.6,1352,NA,NA,NA,NA,NA,8.424189104604268e-4,1.8085253241701383e-5,NA,7.271703706887368,7.210079628170788,NA,TRUE,FALSE,FALSE,0,0,0
2012,48-49,478,74,699,22,1177,96,1273,0.0754124116260801,24967640,57333.8187290909,2.0693,25403244,4.71410193354278e-5,4.63326652296848e-5,56171.4626524243,4.63405382399193e-5,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.9566459332967,10.9361641249315,48-49,2012,Transportation and Warehousing,372,7.4,312,NA,NA,NA,NA,NA,6.370408018301053e-4,1.2496175048983404e-5,NA,5.921578419643816,5.746203190540153,NA,TRUE,FALSE,FALSE,0,0,0
2012,51,4648,171,5417,143,10065,314,10379,0.0302533962809519,13383090,63438.1609133333,2.0693,13556686,7.520684684927e-4,7.4243808553211e-4,62152.0485722282,9.5933475187077e-4,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,11.0578208665022,11.037339058137,51,2012,Information Technology,218,7.6,469.5,NA,NA,NA,NA,NA,0.009895637743325,3.5081584297796695e-5,NA,5.389071729816501,6.153795959025435,NA,TRUE,FALSE,TRUE,0,0,0
2012,52,4596,138,7664,107,12260,245,12505,0.0195921631347461,27614380,69404.025176,2.0693,28095322,4.4397158292165e-4,4.363715781581e-4,67996.963999949,5.433431231007e-4,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,11.1477001444672,11.127218336102,52,2012,Finance and Insurance,302,4.5,665.8,NA,NA,NA,NA,NA,0.009866035176036667,2.411062642000291e-5,NA,5.713732805509369,6.502490150876639,NA,FALSE,FALSE,TRUE,0,0,0
